CIN,Company Name,Company Status,RoC,Registration Number,Company Category,Company Sub Category,Class of Company,Date of Incorporation,Age of Company,Activity,Number of Members,LLP Identification Number,Main division of business activity to be carried out in India,Description of main division,Number Of Partners,Number of Designated Partners,Unnamed: 0
U72900GJ2016PTC094773,SAIYAMI CONSULTANCY PRIVATE LIMITED,Active,RoC-Ahmedabad,94773,Company limited by Shares,Non-govt company,Private,19 December 2016,"5 years, 3 month, 6 days",Other computer related activities [for example maintenance of websites of other firms/ creation of multimedia presentations for other firms etc.]  Click here to see other companies involved in same activity.,-,,,,,,
U74999DL2016PTC292435,SAIYAN RAHEY PRIVATE LIMITED,Active,RoC-Delhi,292435,Company limited by Shares,Non-govt company,Private,11 March 2016,"6 years, 0 month, 14 days",Business activities n.e.c.  Click here to see other companies involved in same activity.,-,,,,,,
U67100TN2020PTC133969,SAIYANA INVESTMENTS PRIVATE LIMITED,Active,RoC-Chennai,133969,Company limited by Shares,Non-govt company,Private,23 January 2020,"2 years, 2 month, 2 days","Activities auxiliary to financial intermediation, except insurance and pension funding.[This Group includes activities involved in or closely related to financial inter-mediation other than insurance and pension funding but not themselves involving financial inter-mediation].  Click here to see other companies involved in same activity.",-,,,,,,
U01100PN2020PTC194502,SAIYASH FARMERS PRODUCER COMPANY LIMITED,Active,RoC-Pune,194502,Company limited by Shares,Non-govt company,Private,30 September 2020,"1 years, 5 month, 25 days",Growing of crops; market gardening; horticulture  Click here to see other companies involved in same activity.,-,,,,,,
U21019GJ1991PLC016114,SAIYED PAPER MILLS LIMITED,Active,RoC-Ahmedabad,16114,Company limited by Shares,Non-govt company,Public,13 August 1991,"30 years, 7 month, 12 days",Manufacture of paper and paper product  Click here to see other companies involved in same activity.,-,,,,,,
U51503DL1998PTC092445,SAIYOG IMPEX PRIVATE LIMITED,Active,RoC-Delhi,92445,Company limited by Shares,Non-govt company,Private,07 February 1998,"24 years, 1 month, 18 days","Wholesale of machinery, equipment and supplies  Click here to see other companies involved in same activity.",-,,,,,,
U01100MN2020PTC014114,SAIYON PRODUCER COMPANY LIMITED,Active,RoC-Shillong,14114,Company limited by Shares,Non-govt company,Private,23 July 2020,"1 years, 8 month, 2 days",Growing of crops; market gardening; horticulture  Click here to see other companies involved in same activity.,-,,,,,,
U85100KA2018PTC115776,SAIYUTISHA CARING HANDS PRIVATE LIMITED,Active,RoC-Bangalore,115776,Company limited by Shares,Non-govt company,Private,29 August 2018,"3 years, 6 month, 27 days",Human health activities  Click here to see other companies involved in same activity.,-,,,,,,
U67100TN2009PTC072970,SAIYYAM CREDITS PRIVATE LIMITED,Active,RoC-Chennai,72970,Company limited by Shares,Non-govt company,Private,22 September 2009,"12 years, 6 month, 3 days","Activities auxiliary to financial intermediation, except insurance and pension funding.[This Group includes activities involved in or closely related to financial inter-mediation other than insurance and pension funding but not themselves involving financial inter-mediation].  Click here to see other companies involved in same activity.",-,,,,,,
U45200TN2010PTC074886,SAIYYAM DEVELOPERS PRIVATE LIMITED,Active,RoC-Chennai,74886,Company limited by Shares,Non-govt company,Private,11 March 2010,"12 years, 0 month, 14 days",Building of complete constructions or parts thereof; civil engineering  Click here to see other companies involved in same activity.,-,,,,,,
U72900HR2021PTC093910,SAIZALA SERVICES PRIVATE LIMITED,Active,RoC-Delhi,93910,Company limited by Shares,Non-govt company,Private,22 March 2021,"1 years, 0 month, 3 days",Other computer related activities [for example maintenance of websites of other firms/ creation of multimedia presentations for other firms etc.]  Click here to see other companies involved in same activity.,-,,,,,,
U14290KL2017PTC050033,SAJ AGGREGATES PRIVATE LIMITED,Active,RoC-Ernakulam,50033,Company limited by Shares,Non-govt company,Private,08 August 2017,"4 years, 7 month, 17 days","Mining and quarrying , n.e.c.  Click here to see other companies involved in same activity.",-,,,,,,
U36900WB2001PTC092954,SAJ AGRO PRODUCTS PRIVATE LIMITED,Active,RoC-Kolkata,92954,Company limited by Shares,Non-govt company,Private,01 March 2001,"21 years, 0 month, 24 days",Manufacturing n.e.c.  Click here to see other companies involved in same activity.,-,,,,,,
U85300MH2016NPL283283,SAJ CHARITABLE FOUNDATION,Active,RoC-Mumbai,283283,Company limited by Shares,Non-govt company,Private,05 July 2016,"5 years, 8 month, 20 days",Social work activities  Click here to see other companies involved in same activity.,-,,,,,,
U24111TN1989PTC018364,SAJ CHEM PRIVATE LIMITED,Active,RoC-Chennai,18364,Company limited by Shares,Non-govt company,Private,21 November 1989,"32 years, 4 month, 4 days",Manufacture of basic chemicals  Click here to see other companies involved in same activity.,-,,,,,,
U74999MH2011PTC213300,SAJ CORPORATE SERVICES PRIVATE LIMITED,Active,RoC-Mumbai,213300,Company limited by Shares,Non-govt company,Private,10 February 2011,"11 years, 1 month, 15 days",Business activities n.e.c.  Click here to see other companies involved in same activity.,-,,,,,,
U74899DL1987PTC028083,SAJ ENGINEERS PRIVATE LIMITED,Active,RoC-Delhi,28083,Company limited by Shares,Non-govt company,Private,25 May 1987,"34 years, 10 month, 0 days",OTHER BUSINESS ACTIVITIES  Click here to see other companies involved in same activity.,-,,,,,,
,,-,,-,-,-,,,"52 years, 2 month, 24 days",,-,,,,,,Unnamed: 1
,SAJ FRAMES ENTERTAINMENT LLP,Active,RoC-Hyderabad,,,,,14 January 2019,"3 years, 2 month, 11 days",,,AAO-0259,Other Business Activities,Other Business Activities,0,2,
,SAJ IT SOLUTIONS LLP,Active,RoC-Jaipur,,,,,12 October 2020,"1 years, 5 month, 13 days",,,AAU-1969,Other Business Activities,Other Business Activities,0,2,
U52393WB2009PTC139882,SAJ JEWELLERY PRIVATE LIMITED,Active,RoC-Kolkata,139882,Company limited by Shares,Non-govt company,Private,03 December 2009,"12 years, 3 month, 22 days",Other retail trade of new goods in specialized stores  Click here to see other companies involved in same activity.,-,,,,,,
U63011TN1999PTC042256,SAJ LINES PRIVATE LIMITED,Active,RoC-Chennai,42256,Company limited by Shares,Non-govt company,Private,12 April 1999,"22 years, 11 month, 13 days",Supporting and auxiliary transport activities; activities of travel agencies  Click here to see other companies involved in same activity.,-,,,,,,
U40106GJ2011PTC067512,SAJ POWER PRIVATE LIMITED,Active,RoC-Ahmedabad,67512,Company limited by Shares,Non-govt company,Private,18 October 2011,"10 years, 5 month, 7 days","Production , collection and distribution of electricity  Click here to see other companies involved in same activity.",-,,,,,,
U67120MH1994PTC082129,SAJ SECURITIES PRIVATE LIMITED,Active,RoC-Mumbai,82129,Company limited by Shares,Non-govt company,Private,18 October 1994,"27 years, 5 month, 7 days","Activities auxiliary to financial intermediation, except insurance and pension funding.[This Group includes activities involved in or closely related to financial inter-mediation other than insurance and pension funding but not themselves involving financial inter-mediation].  Click here to see other companies involved in same activity.",-,,,,,,
U45400KL2014PTC036575,SAJ TECH BUILDERS AND DEVELOPERS PRIVATE LIMITED,Active,RoC-Ernakulam,36575,Company limited by Shares,Non-govt company,Private,28 March 2014,"7 years, 11 month, 28 days",Building completion [ Includes activities that contribute to the completion or finishing of a construction. Repairs of the same type are also included in the corresponding sub-classes]  Click here to see other companies involved in same activity.,-,,,,,,
