CIN,Name,url,roc,status
U72900WB2021PTC242510,PIXOCRAFTS SOLUTIONS PRIVATE LIMITED,https://www.zaubacorp.com/company/PIXOCRAFTS-SOLUTIONS-PRIVATE-LIMITED/U72900WB2021PTC242510,Kolkata,Active
U74999RJ2018PTC060240,PIXODUS STUDIOS PRIVATE LIMITED,https://www.zaubacorp.com/company/PIXODUS-STUDIOS-PRIVATE-LIMITED/U74999RJ2018PTC060240,Jaipur,Strike Off
U92490UP2020PTC130648,PIXOHOLIC STUDIOS PRIVATE LIMITED,https://www.zaubacorp.com/company/PIXOHOLIC-STUDIOS-PRIVATE-LIMITED/U92490UP2020PTC130648,Kanpur,Active
U72900UP2019PTC124043,PIXOLATION TECH PRIVATE LIMITED,https://www.zaubacorp.com/company/PIXOLATION-TECH-PRIVATE-LIMITED/U72900UP2019PTC124043,Kanpur,Active
AAI-6496,PIXOLER SERVICES LLP,https://www.zaubacorp.com/company/PIXOLER-SERVICES-LLP/AAI-6496,Hyderabad,Active
U74120UP2013PTC058039,PIXOLIA EVENTS AND MARKETING SOLUTIONS PRIVTE LIMITED,https://www.zaubacorp.com/company/PIXOLIA-EVENTS-AND-MARKETING-SOLUTIONS-PRIVTE-LIMITED/U74120UP2013PTC058039,Kanpur,Strike Off
AAY-0869,PIXOLOGIX INFOTECH LLP,https://www.zaubacorp.com/company/PIXOLOGIX-INFOTECH-LLP/AAY-0869,Ahmedabad,Active
U72900GJ2015PTC085112,PIXOMETRY INFOSOFT PRIVATE LIMITED,https://www.zaubacorp.com/company/PIXOMETRY-INFOSOFT-PRIVATE-LIMITED/U72900GJ2015PTC085112,Ahmedabad,Active
ABA-7204,PIXONIX SOFTWARE TECHNOLOGY LLP,https://www.zaubacorp.com/company/PIXONIX-SOFTWARE-TECHNOLOGY-LLP/ABA-7204,Mumbai,Active
U72200AP2014PTC092095,PIXOPLAY IT SERVICES PRIVATE LIMITED,https://www.zaubacorp.com/company/PIXOPLAY-IT-SERVICES-PRIVATE-LIMITED/U72200AP2014PTC092095,Vijayawada,Active
U74999DL2019PTC348654,PIXORAL DIGIWEB MARKETING PRIVATE LIMITED,https://www.zaubacorp.com/company/PIXORAL-DIGIWEB-MARKETING-PRIVATE-LIMITED/U74999DL2019PTC348654,Delhi,Active
U72200KL2013PTC035674,PIXORBE INFORMATION TECHNOLOGY SOLUTIONS PRIVATE LIMITED,https://www.zaubacorp.com/company/PIXORBE-INFORMATION-TECHNOLOGY-SOLUTIONS-PRIVATE-LIMITED/U72200KL2013PTC035674,Ernakulam,Strike Off
U93000DL2015PTC281822,PIXORENDER STUDIOS PRIVATE LIMITED,https://www.zaubacorp.com/company/PIXORENDER-STUDIOS-PRIVATE-LIMITED/U93000DL2015PTC281822,Delhi,Strike Off
U74999UR2017PTC007699,PIXOTEL HOSPITALITY PRIVATE LIMITED,https://www.zaubacorp.com/company/PIXOTEL-HOSPITALITY-PRIVATE-LIMITED/U74999UR2017PTC007699,Uttarakhand,Active
U55100GJ2017PTC099444,PIXOTEL HOTELS AND RESORTS PRIVATE LIMITED,https://www.zaubacorp.com/company/PIXOTEL-HOTELS-AND-RESORTS-PRIVATE-LIMITED/U55100GJ2017PTC099444,Ahmedabad,Active
U72900KA2019PTC120395,PIXOTRACK DIGITAL SOLUTIONS PRIVATE LIMITED,https://www.zaubacorp.com/company/PIXOTRACK-DIGITAL-SOLUTIONS-PRIVATE-LIMITED/U72900KA2019PTC120395,Bangalore,Active
U72200KL2014PTC036643,PIXOTRI TECHNOLOGIES PRIVATE LIMITED,https://www.zaubacorp.com/company/PIXOTRI-TECHNOLOGIES-PRIVATE-LIMITED/U72200KL2014PTC036643,Ernakulam,Active
U72900DL2011PTC228432,PIXPA DIGITAL PRIVATE LIMITED,https://www.zaubacorp.com/company/PIXPA-DIGITAL-PRIVATE-LIMITED/U72900DL2011PTC228432,Delhi,Under Process of Striking Off
AAR-7328,PIXPIL LLP,https://www.zaubacorp.com/company/PIXPIL-LLP/AAR-7328,Ernakulam,Active
U74900MH2012PTC226512,PIXPLICITY INTERNATIONAL PRIVATE LIMITED,https://www.zaubacorp.com/company/PIXPLICITY-INTERNATIONAL-PRIVATE-LIMITED/U74900MH2012PTC226512,Mumbai,Strike Off
U72400GA2015PTC007734,PIXS AND BYTES SOFTWARE PRIVATE LIMITED,https://www.zaubacorp.com/company/PIXS-AND-BYTES-SOFTWARE-PRIVATE-LIMITED/U72400GA2015PTC007734,Goa,Active
U72900DL2015PTC275194,PIXSAI LABS PRIVATE LIMITED,https://www.zaubacorp.com/company/PIXSAI-LABS-PRIVATE-LIMITED/U72900DL2015PTC275194,Delhi,Strike Off
U72900KA2019PTC128305,PIXSCO TECHNOLOGIES PRIVATE LIMITED,https://www.zaubacorp.com/company/PIXSCO-TECHNOLOGIES-PRIVATE-LIMITED/U72900KA2019PTC128305,Bangalore,Active
U72200GJ2016PTC085621,PIXSENSE MEDIA PRIVATE LIMITED,https://www.zaubacorp.com/company/PIXSENSE-MEDIA-PRIVATE-LIMITED/U72200GJ2016PTC085621,Ahmedabad,Active
U72200DL2007PTC161816,PIXSOFT SOLUTION PRIVATE LIMITED,https://www.zaubacorp.com/company/PIXSOFT-SOLUTION-PRIVATE-LIMITED/U72200DL2007PTC161816,Delhi,Strike Off
U74140DL2015PTC285421,PIXSTAR NETWORK PRIVATE LIMITED,https://www.zaubacorp.com/company/PIXSTAR-NETWORK-PRIVATE-LIMITED/U74140DL2015PTC285421,Delhi,Active
U22300GJ2011PTC068209,PIXSTORY INTERFACE NETWORK & IT PRIVATE LIMITED,https://www.zaubacorp.com/company/PIXSTORY-INTERFACE-NETWORK-IT-PRIVATE-LIMITED/U22300GJ2011PTC068209,Ahmedabad,Active
U72900MH2016PTC283067,PIXSTOX RESEARCH SYSTEMS PRIVATE LIMITED,https://www.zaubacorp.com/company/PIXSTOX-RESEARCH-SYSTEMS-PRIVATE-LIMITED/U72900MH2016PTC283067,Mumbai,Active
AAR-6115,PIXSUIT SOLUTIONS LLP,https://www.zaubacorp.com/company/PIXSUIT-SOLUTIONS-LLP/AAR-6115,Pune,Active
