CIN,Name,url,roc,status
U74999MH2022PTC376967,MAULI ENGINEERING CONSULTANT PRIVATE LIMITED,https://www.zaubacorp.com/company/MAULI-ENGINEERING-CONSULTANT-PRIVATE-LIMITED/U74999MH2022PTC376967,Mumbai,Active
U74999MH2020OPC336271,MAULI FACILITY MANAGEMENT (OPC) PRIVATE LIMITED,https://www.zaubacorp.com/company/MAULI-FACILITY-MANAGEMENT-OPC-PRIVATE-LIMITED/U74999MH2020OPC336271,Mumbai,Active
U93090MH2006PTC162647,MAULI FINANCIAL SERVICES PRIVATE LIMITED,https://www.zaubacorp.com/company/MAULI-FINANCIAL-SERVICES-PRIVATE-LIMITED/U93090MH2006PTC162647,Mumbai,Active
U85100MH2009PTC191906,MAULI HEALTH SERVICES PRIVATE LIMITED,https://www.zaubacorp.com/company/MAULI-HEALTH-SERVICES-PRIVATE-LIMITED/U85100MH2009PTC191906,Mumbai,Active
AAK-2075,MAULI HOTEL VENTURES LLP,https://www.zaubacorp.com/company/MAULI-HOTEL-VENTURES-LLP/AAK-2075,Mumbai,Active
U74120MH2015PTC271181,MAULI HOTEL VENTURES PRIVATE LIMITED,https://www.zaubacorp.com/company/MAULI-HOTEL-VENTURES-PRIVATE-LIMITED/U74120MH2015PTC271181,Mumbai,Converted to LLP
U45200MH2016PTC273150,MAULI INFRA DEVELOPERS PRIVATE LIMITED,https://www.zaubacorp.com/company/MAULI-INFRA-DEVELOPERS-PRIVATE-LIMITED/U45200MH2016PTC273150,Mumbai,Active
U74999PN2018PTC179035,MAULI INFRASTRUCTURAL PROJECT PRIVATE LIMITED,https://www.zaubacorp.com/company/MAULI-INFRASTRUCTURAL-PROJECT-PRIVATE-LIMITED/U74999PN2018PTC179035,Pune,Active
U74900GA2010PTC006426,MAULI INFRASTRUCTURE (INDIA) PRIVATE LIMITED,https://www.zaubacorp.com/company/MAULI-INFRASTRUCTURE-INDIA-PRIVATE-LIMITED/U74900GA2010PTC006426,Goa,Under Process of Striking Off
U74999MH2017PTC301745,MAULI INFRATECH PRIVATE LIMITED,https://www.zaubacorp.com/company/MAULI-INFRATECH-PRIVATE-LIMITED/U74999MH2017PTC301745,Mumbai,Active
U45400MH2013PTC245095,MAULI INFRATEL PRIVATE LIMITED,https://www.zaubacorp.com/company/MAULI-INFRATEL-PRIVATE-LIMITED/U45400MH2013PTC245095,Mumbai,Active
U65990MH1990PTC056486,MAULI INVESTMENT AND DEVELOPERS PRIVATE LIMITED,https://www.zaubacorp.com/company/MAULI-INVESTMENT-AND-DEVELOPERS-PRIVATE-LIMITED/U65990MH1990PTC056486,Mumbai,Strike Off
AAX-9916,MAULI KRUPA EARTHMOVERS LLP,https://www.zaubacorp.com/company/MAULI-KRUPA-EARTHMOVERS-LLP/AAX-9916,Mumbai,Active
U15122MH2011PTC224318,MAULI KRUPA WATER TREATMENT PRIVATE LIMITED,https://www.zaubacorp.com/company/MAULI-KRUPA-WATER-TREATMENT-PRIVATE-LIMITED/U15122MH2011PTC224318,Mumbai,Strike Off
U85300MH2020PTC350423,MAULI MEDICAL SCIENCES PRIVATE LIMITED,https://www.zaubacorp.com/company/MAULI-MEDICAL-SCIENCES-PRIVATE-LIMITED/U85300MH2020PTC350423,Mumbai,Active
U10200MH2009PTC197462,MAULI MINES PRIVATE LIMITED,https://www.zaubacorp.com/company/MAULI-MINES-PRIVATE-LIMITED/U10200MH2009PTC197462,Mumbai,Strike Off
U85300MH2021NPL361285,MAULI NAVNIRMAN CARE FOUNDATION,https://www.zaubacorp.com/company/MAULI-NAVNIRMAN-CARE-FOUNDATION/U85300MH2021NPL361285,Mumbai,Active
U65929MH2019PLN330620,MAULI NAVNIRMAN NIDHI LIMITED,https://www.zaubacorp.com/company/MAULI-NAVNIRMAN-NIDHI-LIMITED/U65929MH2019PLN330620,Mumbai,Active
AAT-6834,MAULI ORGANIC FOOD SHOPEE LLP,https://www.zaubacorp.com/company/MAULI-ORGANIC-FOOD-SHOPEE-LLP/AAT-6834,Mumbai,Active
U01110MH2018PTC306661,MAULI ORGANIC PRIVATE LIMITED,https://www.zaubacorp.com/company/MAULI-ORGANIC-PRIVATE-LIMITED/U01110MH2018PTC306661,Mumbai,Active
U74999PN2016PLC166328,MAULI PARIVAR GROUP OF COMPANIES LIMITED,https://www.zaubacorp.com/company/MAULI-PARIVAR-GROUP-OF-COMPANIES-LIMITED/U74999PN2016PLC166328,Pune,Active
AAU-4873,MAULI PHARMA DISTRIBUTORS LLP,https://www.zaubacorp.com/company/MAULI-PHARMA-DISTRIBUTORS-LLP/AAU-4873,Pune,Active
U74999MH2014PTC255948,MAULI PRASAD BUILDSPACE PRIVATE LIMITED,https://www.zaubacorp.com/company/MAULI-PRASAD-BUILDSPACE-PRIVATE-LIMITED/U74999MH2014PTC255948,Mumbai,Strike Off
U29299PN2005PTC021349,MAULI PRECISION COMPONENTS PRIVATE LIMIT ED,https://www.zaubacorp.com/company/MAULI-PRECISION-COMPONENTS-PRIVATE-LIMIT-ED/U29299PN2005PTC021349,Pune,Strike Off
U74999MH2018PTC307708,MAULI PROJECT MANAGEMENT PRIVATE LIMITED,https://www.zaubacorp.com/company/MAULI-PROJECT-MANAGEMENT-PRIVATE-LIMITED/U74999MH2018PTC307708,Mumbai,Active
U92140PN2011PTC141163,MAULI SABHAGRUH PRIVATE LIMITED,https://www.zaubacorp.com/company/MAULI-SABHAGRUH-PRIVATE-LIMITED/U92140PN2011PTC141163,Pune,Active
U45201MH2004PTC144062,MAULI SAI DEVELOPERS PRIVATE LIMITED,https://www.zaubacorp.com/company/MAULI-SAI-DEVELOPERS-PRIVATE-LIMITED/U45201MH2004PTC144062,Mumbai,Active
U92140PN2011PTC141161,MAULI SANKUL PRIVATE LIMITED,https://www.zaubacorp.com/company/MAULI-SANKUL-PRIVATE-LIMITED/U92140PN2011PTC141161,Pune,Active
U01407PN2014PTC152508,MAULI SHETKARI PRODUCER COMPANY LIMITED,https://www.zaubacorp.com/company/MAULI-SHETKARI-PRODUCER-COMPANY-LIMITED/U01407PN2014PTC152508,Pune,Strike Off
U45309MH2021PTC362610,MAULI SHIV DEVELOPERS PRIVATE LIMITED,https://www.zaubacorp.com/company/MAULI-SHIV-DEVELOPERS-PRIVATE-LIMITED/U45309MH2021PTC362610,Mumbai,Not available for efiling
U15400PN2020PTC195870,MAULI SUGAR AND CHEMICALS PRIVATE LIMITED,https://www.zaubacorp.com/company/MAULI-SUGAR-AND-CHEMICALS-PRIVATE-LIMITED/U15400PN2020PTC195870,Pune,Active
U51494HR2008PTC038294,MAULI TEXTILES PRIVATE LIMITED,https://www.zaubacorp.com/company/MAULI-TEXTILES-PRIVATE-LIMITED/U51494HR2008PTC038294,Delhi,Strike Off
