CIN,Name,url,roc,status
U72900DL2021PTC380082,ARGO NAVVIS TECHNOLOGIES PRIVATE LIMITED,https://www.zaubacorp.com/company/ARGO-NAVVIS-TECHNOLOGIES-PRIVATE-LIMITED/U72900DL2021PTC380082,Delhi,Active
AAE-0261,ARGO RAIMENT LLP,https://www.zaubacorp.com/company/ARGO-RAIMENT-LLP/AAE-0261,Chennai,Active
U51109WB2010PTC151859,ARGO TECH INDIA PRIVATE LIMITED,https://www.zaubacorp.com/company/ARGO-TECH-INDIA-PRIVATE-LIMITED/U51109WB2010PTC151859,Kolkata,Active
U99999MH1969PLC014485,ARGO TEXTILES PRIVATE LIMITED,https://www.zaubacorp.com/company/ARGO-TEXTILES-PRIVATE-LIMITED/U99999MH1969PLC014485,Mumbai,Not available for efiling
U63030WB2020OPC235774,ARGO TOURS AND TRANSPORT (OPC) PRIVATE LIMITED,https://www.zaubacorp.com/company/ARGO-TOURS-AND-TRANSPORT-OPC-PRIVATE-LIMITED/U63030WB2020OPC235774,Kolkata,Active
U31102MH1973PTC016451,ARGO TRANSFORMERS COMPANY PRIVATE LIMITED,https://www.zaubacorp.com/company/ARGO-TRANSFORMERS-COMPANY-PRIVATE-LIMITED/U31102MH1973PTC016451,Mumbai,Active
U15136AS2013PTC011554,ARGO VITALITY PRIVATE LIMITED,https://www.zaubacorp.com/company/ARGO-VITALITY-PRIVATE-LIMITED/U15136AS2013PTC011554,Shillong,Strike Off
U14102OR1996PTC004425,ARGOCY GRANITES PRIVATE LIMITED,https://www.zaubacorp.com/company/ARGOCY-GRANITES-PRIVATE-LIMITED/U14102OR1996PTC004425,Cuttack,Strike Off
U74999HR2017PTC069483,ARGON AIR GASES PRIVATE LIMITED,https://www.zaubacorp.com/company/ARGON-AIR-GASES-PRIVATE-LIMITED/U74999HR2017PTC069483,Delhi,Active
U31404JH1998PTC008455,ARGON BATTERIES PRIVATE LIMITED,https://www.zaubacorp.com/company/ARGON-BATTERIES-PRIVATE-LIMITED/U31404JH1998PTC008455,Jharkhand,Active
U31909WB2017PTC220513,ARGON ELECTRICAL PRIVATE LIMITED,https://www.zaubacorp.com/company/ARGON-ELECTRICAL-PRIVATE-LIMITED/U31909WB2017PTC220513,Kolkata,Active
U51909KL2007PTC020260,ARGON IMPEX PRIVATE LIMITED,https://www.zaubacorp.com/company/ARGON-IMPEX-PRIVATE-LIMITED/U51909KL2007PTC020260,Ernakulam,Active
U14220MH2013PTC245034,ARGON MINES & MINERALS PRIVATE LIMITED,https://www.zaubacorp.com/company/ARGON-MINES-MINERALS-PRIVATE-LIMITED/U14220MH2013PTC245034,Mumbai,Strike Off
U74999MH2016PTC285460,ARGON SOLAR INDIA PRIVATE LIMITED,https://www.zaubacorp.com/company/ARGON-SOLAR-INDIA-PRIVATE-LIMITED/U74999MH2016PTC285460,Mumbai,Strike Off
U51109WB1993PTC060012,ARGONAUT INTERNATIONAL PVT LTD,https://www.zaubacorp.com/company/ARGONAUT-INTERNATIONAL-PVT-LTD/U51109WB1993PTC060012,Kolkata,Active
U67100MH2007PTC175030,ARGONAUT INVESTMENT ADVISORS PRIVATE LIMITED,https://www.zaubacorp.com/company/ARGONAUT-INVESTMENT-ADVISORS-PRIVATE-LIMITED/U67100MH2007PTC175030,Mumbai,Active
U63013TN2004PTC054741,ARGONAUT LOGISTICS (INDIA) PRIVATE LIMITED,https://www.zaubacorp.com/company/ARGONAUT-LOGISTICS-INDIA-PRIVATE-LIMITED/U63013TN2004PTC054741,Chennai,Active
U72900TG2020PTC146372,ARGONAUT TECHNOLOGIES PRIVATE LIMITED,https://www.zaubacorp.com/company/ARGONAUT-TECHNOLOGIES-PRIVATE-LIMITED/U72900TG2020PTC146372,Hyderabad,Active
U65999MH2020PTC335707,ARGONAUT TRADE AND FINANCIALS PRIVATE LIMITED,https://www.zaubacorp.com/company/ARGONAUT-TRADE-AND-FINANCIALS-PRIVATE-LIMITED/U65999MH2020PTC335707,Mumbai,Active
U27106WB1963PTC025824,ARGONAUTS ENGINEERING WORKS PVT LTD,https://www.zaubacorp.com/company/ARGONAUTS-ENGINEERING-WORKS-PVT-LTD/U27106WB1963PTC025824,Kolkata,Strike Off
U72300BR2010PTC015824,ARGONAUTS SOLUTIONS PRIVATE LIMITED,https://www.zaubacorp.com/company/ARGONAUTS-SOLUTIONS-PRIVATE-LIMITED/U72300BR2010PTC015824,Patna,Strike Off
U74900MH2015PTC268837,ARGONIUM CONSULTING PRIVATE LIMITED,https://www.zaubacorp.com/company/ARGONIUM-CONSULTING-PRIVATE-LIMITED/U74900MH2015PTC268837,Mumbai,Strike Off
U74999PN2018PTC177593,ARGONPOWER SEMICONDUCTORS PRIVATE LIMITED,https://www.zaubacorp.com/company/ARGONPOWER-SEMICONDUCTORS-PRIVATE-LIMITED/U74999PN2018PTC177593,Pune,Active
U74999KA2017PTC102319,ARGOPRUDENT TECHNOLOGIES PRIVATE LIMITED,https://www.zaubacorp.com/company/ARGOPRUDENT-TECHNOLOGIES-PRIVATE-LIMITED/U74999KA2017PTC102319,Bangalore,Active
AAN-5598,ARGOS ADVISORS LLP,https://www.zaubacorp.com/company/ARGOS-ADVISORS-LLP/AAN-5598,Delhi,Active
AAG-7476,ARGOS ARKAYA POWER SOLUTIONS LLP,https://www.zaubacorp.com/company/ARGOS-ARKAYA-POWER-SOLUTIONS-LLP/AAG-7476,Mumbai,Active
U74300WB2000PTC092292,ARGOS COMMUNICATIONS PRIVATE LIMITED,https://www.zaubacorp.com/company/ARGOS-COMMUNICATIONS-PRIVATE-LIMITED/U74300WB2000PTC092292,Kolkata,Strike Off
U74300JH2014PTC002162,ARGOS CONSULTANTS PRIVATE LIMITED,https://www.zaubacorp.com/company/ARGOS-CONSULTANTS-PRIVATE-LIMITED/U74300JH2014PTC002162,Jharkhand,Active
U72900WB2019PTC233469,ARGOS DIGITAL PRIVATE LIMITED,https://www.zaubacorp.com/company/ARGOS-DIGITAL-PRIVATE-LIMITED/U72900WB2019PTC233469,Kolkata,Active
